step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,img2030,0.5,0.5,1,,What is this picture demonstrating,this is a mural,,,,,,,,
2,img2030,0.5,0.5,1,,Where is this?,"Outside of main center of influential group, Mi Comuna. ",,,,,,,,
3,img2030,0.4994156595719096,0.6940179210567057,1.5552000000000004,,What does it say?,"It says ""Prohibido Olividar"" which translates to Prohibited to forget. This could be talking about the history of this barrio and the importance of remembering it.",,,,,,,,
4,img2030,0.5,0.5,1,,What could murals serve as in this Community?,"They are artistic expression. They portray critical sentiments, feelings, and emotions. Murals can be found all over and provoke and demonstrate incredible themes, messages, and expressions.",,,,,,,,
